date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:49:22	74/74	---M--	200	added ('OK')	text/plain	date:Thu,%2010%20Oct%202024%2016:49:21%20GMT	https://leonardhinganescu.com/robots.txt		(from )
19:49:22	55241/55241	---M--	200	added ('OK')	text/html	date:Thu,%2010%20Oct%202024%2016:49:21%20GMT	https://leonardhinganescu.com/	D:/Site%20foto/leonardhinganescu.com/Saved%20Site/leonardhinganescu.com/leonardhinganescu.com/index.html	(from )
19:49:23	546/546	---M--	200	added ('OK')	image/png	etag:a12301a6386232718cbdf2725a72b270	https://cdn.myportfolio.com/2b2f4de4-9fb2-4f11-a777-608d9e455175/8f6cab9b-2a94-43d4-b384-0a969821a545_carw_1x1x32.png?h=0f9b43c36357ee9aa09d160680377493	D:/Site%20foto/leonardhinganescu.com/Saved%20Site/leonardhinganescu.com/cdn.myportfolio.com/2b2f4de4-9fb2-4f11-a777-608d9e455175/8f6cab9b-2a94-43d4-b384-0a969821a545_carw_1x1x32d2f9.png	(from https://leonardhinganescu.com/)
19:49:23	10831/10831	---M--	200	added ('OK')	image/jpeg	etag:fc57276538906a726c0034eaefb4a71e	https://cdn.myportfolio.com/2b2f4de4-9fb2-4f11-a777-608d9e455175/a3bf44ba-cbbb-4a11-88cf-64e5c82a211e_carw_1x1x180.jpg?h=4a2ac81ffa18d51173d6db12cfb8f36d	D:/Site%20foto/leonardhinganescu.com/Saved%20Site/leonardhinganescu.com/cdn.myportfolio.com/2b2f4de4-9fb2-4f11-a777-608d9e455175/a3bf44ba-cbbb-4a11-88cf-64e5c82a211e_carw_1x1x1805cb9.jpg	(from https://leonardhinganescu.com/)
19:49:23	11553/11553	---M--	200	added ('OK')	text/css	etag:%2266fd5bcf-2d21%22	https://leonardhinganescu.com/dist/css/main.css	D:/Site%20foto/leonardhinganescu.com/Saved%20Site/leonardhinganescu.com/leonardhinganescu.com/dist/css/main.css	(from https://leonardhinganescu.com/)
19:49:24	73719/73719	---M--	200	added ('OK')	text/css	etag:84bf25ed5e3b770ac3846e7587850da2	https://cdn.myportfolio.com/2b2f4de4-9fb2-4f11-a777-608d9e455175/8d8d28b5290a95d61eed0df95353a3951709900467.css?h=0eca620c3948287384aab478c8823bdc	D:/Site%20foto/leonardhinganescu.com/Saved%20Site/leonardhinganescu.com/cdn.myportfolio.com/2b2f4de4-9fb2-4f11-a777-608d9e455175/8d8d28b5290a95d61eed0df95353a3951709900467df9e.css	(from https://leonardhinganescu.com/)
19:49:24	24097/24097	---M--	200	added ('OK')	text/html	date:Thu,%2010%20Oct%202024%2016:49:22%20GMT	https://leonardhinganescu.com/selected-work	D:/Site%20foto/leonardhinganescu.com/Saved%20Site/leonardhinganescu.com/leonardhinganescu.com/selected-work.html	(from https://leonardhinganescu.com/)
19:49:24	63183/63183	---M--	200	added ('OK')	text/html	date:Thu,%2010%20Oct%202024%2016:49:23%20GMT	https://leonardhinganescu.com/people	D:/Site%20foto/leonardhinganescu.com/Saved%20Site/leonardhinganescu.com/leonardhinganescu.com/people.html	(from https://leonardhinganescu.com/)
19:49:24	79530/79530	---M--	200	added ('OK')	text/html	date:Thu,%2010%20Oct%202024%2016:49:23%20GMT	https://leonardhinganescu.com/real-estate	D:/Site%20foto/leonardhinganescu.com/Saved%20Site/leonardhinganescu.com/leonardhinganescu.com/real-estate.html	(from https://leonardhinganescu.com/)
19:49:24	49540/49540	---M--	200	added ('OK')	text/html	date:Thu,%2010%20Oct%202024%2016:49:23%20GMT	https://leonardhinganescu.com/random	D:/Site%20foto/leonardhinganescu.com/Saved%20Site/leonardhinganescu.com/leonardhinganescu.com/random.html	(from https://leonardhinganescu.com/)
19:49:25	17680/17680	---M--	200	added ('OK')	text/html	date:Thu,%2010%20Oct%202024%2016:49:23%20GMT	https://leonardhinganescu.com/about	D:/Site%20foto/leonardhinganescu.com/Saved%20Site/leonardhinganescu.com/leonardhinganescu.com/about.html	(from https://leonardhinganescu.com/)
19:49:25	14604/14604	---M--	200	added ('OK')	text/html	date:Thu,%2010%20Oct%202024%2016:49:23%20GMT	https://leonardhinganescu.com/contact	D:/Site%20foto/leonardhinganescu.com/Saved%20Site/leonardhinganescu.com/leonardhinganescu.com/contact.html	(from https://leonardhinganescu.com/)
19:49:26	18937/18937	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2010%20Oct%202024%2016:49:24%20GMT	http://use.typekit.net/ik/EsKJGDcJ_Z493tINuMUnfKeSvZtIvqQqAAzPAL1IXytfelwffHYEBsJzwD9oFDIDWD6u5A935AmqFe9XFRmyZQ88wA4ywRSu5QB8jDm8wDJawQBcwRscjQ6-13I7OcU8dhoyScsG-Ao1jAo8ShFuOcFzdP37OcuoSeNkieZzde8zOcFzdP37O1gkdDJlic88ikolpWgzS1scdhUTdkoRdhXCdemzdcBkZeyTdciydcmDja90jhNlOeuoSeNkieZzde8zOcFzdPU3ScvkOWZTZWS0dW83da4XZcNC-Av0jhNlOYiaikoCZAN0jW4q-e80ZhB0ZWFRiPoRdhXKgeZXdcCKgeTXjhGKgeTtZ1j7fbKJmsMMegJ6MPG4fJsmIMMjgfMgH6qJxubbMg6BJMI7fbRKpsMMeMj6MPG4fJBmIMMjgkMgH6qJyu9bMg6JJMI7fbRPSsMgeMw6MPG4fFuEIMJjMkMgH6qJaYGbMy6IJMebMpRK6-qe.js?cb=adeb4bb9d464af714ca5d519b967c8936ac1529e	D:/Site%20foto/leonardhinganescu.com/Saved%20Site/leonardhinganescu.com/use.typekit.net/ik/EsKJGDcJ_Z493tINuMUnfKeSvZtIvqQqAAzPAL1IXytfelwffHYEBsJzwD9oFDIDWD6u5A935AmqFe9XFRmyZQ88wA4ywRSu5QB8jDm8wDJawQBcwRscjQ6-13I7OcU8dhoyScsG-Ao1jAo8ShFuO	(from https://leonardhinganescu.com/)
19:49:26	81914/81914	---M--	200	added ('OK')	image/jpeg	etag:e85a3411052dd91b4013c23944b30a4a	https://cdn.myportfolio.com/2b2f4de4-9fb2-4f11-a777-608d9e455175/ae812de9-6853-4900-ab27-55203009c866.jpg?h=7a5608121e798b5e010d7c696e794663	D:/Site%20foto/leonardhinganescu.com/Saved%20Site/leonardhinganescu.com/cdn.myportfolio.com/2b2f4de4-9fb2-4f11-a777-608d9e455175/ae812de9-6853-4900-ab27-55203009c86629ca.jpg	(from https://leonardhinganescu.com/)
19:49:27	107616/107616	---M--	200	added ('OK')	image/jpeg	etag:9d04cf9664675f4f4e91866cb3a906d3	https://cdn.myportfolio.com/2b2f4de4-9fb2-4f11-a777-608d9e455175/ae812de9-6853-4900-ab27-55203009c866_rw_1200.jpg?h=6dffe1de31bc0c467b20f593ab43bed4	D:/Site%20foto/leonardhinganescu.com/Saved%20Site/leonardhinganescu.com/cdn.myportfolio.com/2b2f4de4-9fb2-4f11-a777-608d9e455175/ae812de9-6853-4900-ab27-55203009c866_rw_1200fba1.jpg	(from https://leonardhinganescu.com/)
19:49:27	96979/96979	---M--	200	added ('OK')	image/jpeg	etag:557766ea777b8b3d073f5e872a8aa05e	https://cdn.myportfolio.com/2b2f4de4-9fb2-4f11-a777-608d9e455175/5c5c683f-eb55-476b-9f76-11f58dca83e3.jpg?h=424aab825d878103d6f490525642e6e7	D:/Site%20foto/leonardhinganescu.com/Saved%20Site/leonardhinganescu.com/cdn.myportfolio.com/2b2f4de4-9fb2-4f11-a777-608d9e455175/5c5c683f-eb55-476b-9f76-11f58dca83e33a63.jpg	(from https://leonardhinganescu.com/)
19:49:27	118750/118750	---M--	200	added ('OK')	image/jpeg	etag:ddc27626596a4f8a2bfbb43e173950cf	https://cdn.myportfolio.com/2b2f4de4-9fb2-4f11-a777-608d9e455175/5c5c683f-eb55-476b-9f76-11f58dca83e3_rw_1200.jpg?h=b5c17828e396019716861bb55172b21f	D:/Site%20foto/leonardhinganescu.com/Saved%20Site/leonardhinganescu.com/cdn.myportfolio.com/2b2f4de4-9fb2-4f11-a777-608d9e455175/5c5c683f-eb55-476b-9f76-11f58dca83e3_rw_1200def7.jpg	(from https://leonardhinganescu.com/)
